id;date;period;total_num;left_num;busi_type
1;Checking Account Missouri;monitor Cayman Islands;30390;6619;PERSON
2;Small hack;Kids;18665;61326;ORG
3;Table back up;Forge communities;88556;64960;ORG
4;Hat;Refined Granite Pizza microchip Ohio;60856;84042;ORG
5;Neck neural;Ergonomic Steel Bacon;62244;22370;PERSON
6;Optional;Cape Verde Escudo matrix;65489;12810;PERSON
7;Oklahoma;out-of-the-box didactic;77520;12110;PERSON
8;FTP;navigating Mobility one-to-one;17927;43147;ORG
9;Coordinator SCSI;invoice;51469;50760;ORG
10;sexy capacity;6th generation;63215;10576;ORG
