id;name;addr;state;community_state_enum
1;architecture Buckinghamshire;neural Mississippi Bedfordshire;metrics non-volatile hacking;FORBID
2;Money Market Account purple;Nuevo Sol Slovakia (Slovak Republic) Accountability;access;FORBID
3;program Hat;Sausages Shoes;Human monitor circuit;NORMAL
4;Assistant;deposit Analyst;Fish;NORMAL
5;Wisconsin;Taiwan Somalia XSS;Vision-oriented Regional fuchsia;FORBID
6;Wooden Fish Soft;Communications View;global;NORMAL
7;Integration PNG;Senegal;withdrawal;NORMAL
8;methodologies;Djibouti;Yemen model New Mexico;FORBID
9;drive;Soft Rubber;structure;FORBID
10;forecast Bermudian Dollar (customarily known as Bermuda Dollar) users;scale Berkshire online;Direct firewall teal;FORBID
