id;name;addr;latitude;longitude
1;Unbranded Frozen Bike Officer;deposit;Ergonomic Wooden Towels;Brazil
2;Health navigate;Generic Granite Tuna bandwidth HDD;withdrawal killer port;online Toys Security
3;overriding;Practical;Maine Pakistan Rupee;Pakistan Rupee
4;Technician Engineer Shirt;circuit strategic microchip;relationships Forward;HTTP cyan Unbranded Frozen Pizza
5;GB mobile indigo;synergistic workforce copying;Steel program;hack Bedfordshire
6;index Investment Account;parsing compressing analyzing;Cambridgeshire Engineer Corporate;index
7;azure;Washington;composite infrastructures killer;Savings Account
8;auxiliary South Carolina mission-critical;compressing eyeballs;SDD;Dynamic Creative Cambridgeshire
9;Licensed;Shore;Tasty alarm Applications;database Integration
10;invoice grid-enabled;override HTTP Bacon;Soap;Boliviano Mvdol Generic Granite Cheese indexing
